"";"Data";"Hora";"Nome";"Idade";"Sexo";"Crime";"Tipo";"Cidade";"Bairro"
"188";"20/02/2021 ";"12";"Parda";"46";"Masculino";"Homicídio";"PAF";"Rio Largo";"Mata do Rolo"
"189";"20/02/2021 ";"15";"Parda";"55";"Masculino";"Homicídio";"PAF";"Girau do Ponciano";"Zona Rural"
"190";"20/02/2021 ";"15";"Parda";"15";"Masculino";"Homicídio";"BRANCA";"Boca da Mata";"Centro"
"191";"20/02/2021 ";"19";"Branca";"58";"Masculino";"Homicídio";"PAF";"São Sebastião";"Zona Rural"
"192";"20/02/2021 ";"20";"Parda";"20";"Masculino";"Homicídio";"PAF";"Arapiraca";"Olho d Água dos Cazuzinhos"
"193";"21/02/2021 ";"02";"Parda";"30";"Masculino";"Homicídio";"PAF";"Maceió";"Jacintinho"
"194";"21/02/2021 ";"05";"Preta";"34";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Coruripe"
"195";"21/02/2021 ";"19";"Parda";"21";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Nova Esperança"
"196";"21/02/2021 ";"20";"Parda";"30";"Masculino";"Homicídio";"PAF";"Campo Alegre";"Luziápolis"
"197";"21/02/2021 ";"23";"Branca";"41";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Rocha Cavalcante"
"198";"22/02/2021 ";"03";"Parda";"26";"Masculino";"Homicídio";"BRANCA";"Piaçabuçu";"Centro"
"199";"22/02/2021 ";"16";"Parda";"37";"Masculino";"Homicídio";"PAF";"Santana do Ipanema";"Zona Rural"
"200";"22/02/2021 ";"19";"Parda";"21";"Masculino";"Homicídio";"PAF";"Zona Rural";"Canapi"
"201";"22/02/2021 ";"19";"Branca";"25";"Masculino";"Homicídio";"PAF";"Zona Rural";"Canapi"
"202";"22/02/2021 ";"20";"Branca";"26";"Masculino";"Homicídio";"PAF";"Palmeira dos Índios";"Xucurus"
"203";"23/02/2021 ";"01";"Parda";"16";"Masculino";"Homicídio";"PAF";"Zona Rural";"Maragogi"
"204";"23/02/2021 ";"15";"Parda";"19";"Masculino";"Homicídio";"PAF";"São Luís do Quitunde";"Centro"
"205";"23/02/2021 ";"18";"Preta";"18";"Masculino";"Homicídio";"PAF";"Maceió";"Chã da Jaqueira"
"206";"23/02/2021 ";"18";"Parda";"23";"Masculino";"Homicídio";"PAF";"Maceió";"Guaxuma"
"207";"24/02/2021 ";"12";"Branca";"";"Masculino";"Homicídio";"NI";"Olho d Água das Flores";"Centro"
"208";"24/02/2021 ";"14";"Parda";"32";"Masculino";"Homicídio";"BRANCA";"Maceió";"Ponta Grossa"
"209";"24/02/2021 ";"14";"Parda";"16";"Masculino";"Homicídio";"PAF";"Matriz de Camaragibe";"Centro"
"210";"24/02/2021 ";"16";"Branca";"42";"Masculino";"Homicídio";"BRANCA";"Maceió";"Cidade Universitária"
"211";"24/02/2021 ";"18";"Parda";"27";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Roberto Correia de Araújo"
"212";"24/02/2021 ";"21";"Parda";"19";"Masculino";"Homicídio";"PAF";"Feliz Deserto";"Centro"
"213";"25/02/2021 ";"15";"Parda";"22";"Masculino";"Homicídio";"BRANCA";"Arapiraca";"Cacimbas"
"214";"25/02/2021 ";"15";"Parda";"";"Masculino";"Homicídio";"NI";"Zona Rural";"Maragogi"
"215";"25/02/2021 ";"21";"Preta";"20";"Masculino";"Homicídio";"PAF";"Maceió";"Antares"
"216";"26/02/2021 ";"16";"Branca";"55";"Masculino";"Homicídio";"BRANCA";"Rio Largo";"Centro"
"217";"26/02/2021 ";"16";"NI";"";"Feminino";"Homicídio";"PAF";"Arapiraca";"Canafístula"
"218";"26/02/2021 ";"21";"NI";"19";"Masculino";"Homicídio";"PAF";"Paripueira";"Centro"
"219";"27/02/2021 ";"01";"NI";"21";"Masculino";"Resistência com Resultado Morte";"PAF";"Olho d Água das Flores";"Centro"
"220";"27/02/2021 ";"10";"Preta";"23";"Masculino";"Homicídio";"PAF";"Anadia";"Centro"
"221";"27/02/2021 ";"16";"Parda";"19";"Masculino";"Homicídio";"PAF";"Messias";"Centro"
"222";"27/02/2021 ";"18";"Preta";"21";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Timbó"
"223";"27/02/2021 ";"22";"Parda";"45";"Masculino";"Homicídio";"PAF";"Arapiraca";"Planalto"
"224";"27/02/2021 ";"23";"Parda";"28";"Masculino";"Homicídio";"PAF";"Maceió";"Santa Lúcia"
"225";"28/02/2021 ";"02";"Branca";"24";"Masculino";"Homicídio";"PAF";"São Miguel dos Campos";"Centro"
"226";"28/02/2021 ";"02";"Parda";"19";"Masculino";"Homicídio";"PAF";"Teotônio Vilela";"Zona Rural"
"227";"28/02/2021 ";"07";"Branca";"60";"Masculino";"Homicídio";"ESPANCAMEN";"Palmeira dos Índios";"Vila Maria"
"228";"28/02/2021 ";"11";"Parda";"32";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Igaci"
"229";"28/02/2021 ";"21";"Preta";"20";"Masculino";"Homicídio";"PAF";"Novo Lino";"Centro"
"230";"28/02/2021 ";"21";"Parda";"25";"Masculino";"Homicídio";"PAF";"Maceió";"Poço"
"231";"01/03/2021 ";"03";"Preta";"26";"Masculino";"Homicídio";"PAF";"Maceió";"Jatiúca"
"232";"01/03/2021 ";"19";"Preta";"26";"Masculino";"Homicídio";"PAF";"Maceió";"Garça Torta"
"233";"02/03/2021 ";"16";"Parda";"46";"Feminino";"Homicídio";"PAF";"Maceió";"Benedito Bentes"
"234";"02/03/2021 ";"20";"Parda";"18";"Masculino";"Homicídio";"BRANCA";"Boca da Mata";"Centro"
"235";"02/03/2021 ";"22";"Parda";"31";"Masculino";"Homicídio";"PAF";"Penedo";"Dom Constantino"
"236";"04/03/2021 ";"02";"Parda";"34";"Masculino";"Homicídio";"ESPANCAMEN";"Estrela de Alagoas";"Zona Rural"
"237";"04/03/2021 ";"06";"Parda";"46";"Feminino";"Homicídio";"ESPANCAMEN";"Maceió";"Santos Dumont"
"238";"04/03/2021 ";"16";"Parda";"35";"Masculino";"Homicídio";"PAF";"Zona Rural";"Flexeiras"
"239";"07/03/2021 ";"01";"Branca";"18";"Masculino";"Resistência com Resultado Morte";"PAF";"União dos Palmares";"Santa Fé"
"240";"07/03/2021 ";"10";"Parda";"79";"Feminino";"Homicídio";"BRANCA";"Delmiro Gouveia";"Centro"
"241";"07/03/2021 ";"14";"Branca";"51";"Masculino";"Homicídio";"PAF";"Piranhas";"Centro"
"242";"07/03/2021 ";"23";"Parda";"37";"Masculino";"Homicídio";"PAF";"Maceió";"Poço"
"243";"08/03/2021 ";"03";"Branca";"16";"Masculino";"Homicídio";"PAF";"Arapiraca";"Olho d Água dos Cazuzinhos"
"244";"08/03/2021 ";"12";"Parda";"28";"Masculino";"Homicídio";"BRANCA";"Ibateguara";"Zona Rural"
"245";"08/03/2021 ";"19";"NI";"42";"Feminino";"Feminicídio";"BRANCA";"São Sebastião";"Centro"
"246";"08/03/2021 ";"20";"Parda";"19";"Masculino";"Homicídio";"NI";"Maragogi";"Centro"
"247";"08/03/2021 ";"20";"Parda";"31";"Masculino";"Roubo com Resultado Morte";"PAF";"Zona Rural";"Maragogi"
"248";"09/03/2021 ";"12";"Parda";"23";"Masculino";"Homicídio";"PAF";"Maceió";"Antares"
"249";"09/03/2021 ";"17";"Parda";"49";"Masculino";"Homicídio";"PAF";"Maceió";"Barro Duro"
"250";"09/03/2021 ";"19";"Parda";"31";"Masculino";"Homicídio";"PAF";"São Miguel dos Campos";"Centro"
"251";"10/03/2021 ";"02";"Parda";"17";"Feminino";"Homicídio";"PAF";"Maceió";"Vergel do Lago"
"252";"10/03/2021 ";"21";"Parda";"28";"Masculino";"Homicídio";"PAF";"Maceió";"Vergel do Lago"
"253";"10/03/2021 ";"22";"NI";"";"Masculino";"Homicídio";"PAF";"Palmeira dos Índios";"Vila Maria"
"254";"11/03/2021 ";"01";"Parda";"20";"Masculino";"Homicídio";"ESPANCAMEN";"Limoeiro de Anadia";"Zona Rural"
"255";"11/03/2021 ";"08";"Parda";"18";"Masculino";"Homicídio";"NI";"Teotônio Vilela";"Zona Rural"
"256";"11/03/2021 ";"21";"NI";"62";"Masculino";"Homicídio";"PAF";"Maceió";"Pitanguinha"
"257";"12/03/2021 ";"21";"NI";"25";"Masculino";"Homicídio";"PAF";"Porto Real do Colégio";"Zona Rural"
"258";"12/03/2021 ";"23";"Parda";"18";"Masculino";"Homicídio";"BRANCA";"Marechal Deodoro";"Zona Rural"
"259";"13/03/2021 ";"06";"Parda";"30";"Masculino";"Homicídio";"PAF";"Zona Rural";"Satuba"
"260";"14/03/2021 ";"01";"Parda";"48";"Masculino";"Homicídio";"ESPANCAMEN";"Santana do Mundaú";"Centro"
"261";"14/03/2021 ";"08";"NI";"62";"Masculino";"Homicídio";"PAF";"Feira Grande";"Zona Rural"
"262";"14/03/2021 ";"09";"Branca";"23";"Masculino";"Homicídio";"PAF";"Matriz de Camaragibe";"Zona Rural"
"263";"14/03/2021 ";"14";"Parda";"24";"Masculino";"Homicídio";"PAF";"Maceió";"Jardim Petrópolis"
"264";"14/03/2021 ";"16";"NI";"21";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Taquarana"
"265";"14/03/2021 ";"18";"Parda";"21";"Masculino";"Homicídio";"PAF";"Porto Calvo";"Zona Rural"
"266";"14/03/2021 ";"20";"NI";"";"Masculino";"Homicídio";"BRANCA";"Maceió";"Jacintinho"
"267";"15/03/2021 ";"02";"Parda";"22";"Masculino";"Homicídio";"PAF";"Maceió";"Jacintinho"
"268";"15/03/2021 ";"20";"NI";"21";"Feminino";"Feminicídio";"BRANCA";"Maceió";"Feitosa"
"269";"16/03/2021 ";"21";"Parda";"39";"Masculino";"Homicídio";"PAF";"Satuba";"Centro"
"270";"16/03/2021 ";"21";"NI";"30";"Masculino";"Homicídio";"PAF";"Maceió";"Jacintinho"
"271";"17/03/2021 ";"06";"Parda";"46";"Masculino";"Homicídio";"PAF";"Zona Rural";"Taquarana"
"272";"17/03/2021 ";"08";"Parda";"25";"Masculino";"Homicídio";"PAF";"Joaquim Gomes";"Zona Rural"
"273";"17/03/2021 ";"17";"NI";"21";"Masculino";"Homicídio";"PAF";"Arapiraca";"Eldorado"
"274";"17/03/2021 ";"19";"NI";"26";"Masculino";"Homicídio";"PAF";"Maceió";"Cidade Universitária"
"275";"17/03/2021 ";"19";"NI";"26";"Masculino";"Homicídio";"PAF";"Barra de Santo Antônio";"Centro"
"276";"19/03/2021 ";"11";"NI";"26";"Masculino";"Homicídio";"PAF";"Pão de Açúcar";"Zona Rural"
"277";"19/03/2021 ";"22";"NI";"27";"Masculino";"Homicídio";"NI";"Matriz de Camaragibe";"Zona Rural"
